Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,164.719,-100.203,0.0,bottom
C1,130.0815,-96.459001,0.0,bottom
C10,151.737,-113.919,180.0,bottom
C11,147.794858,-134.287359,45.0,bottom
C12,151.492857,-133.973361,315.0,bottom
C13,147.447,-113.919,90.0,bottom
C14,145.669,-127.663,270.0,bottom
C15,143.002,-114.907,90.0,bottom
C16,146.304,-113.919,90.0,bottom
C2,134.2445,-98.844001,90.0,bottom
C3,144.145,-114.907,90.0,bottom
C4,144.399,-127.663,270.0,bottom
C5,137.782,-114.808,0.0,bottom
C6,141.252,-117.348,0.0,bottom
C7,157.917,-123.112,180.0,bottom
C8,153.178499,-117.89775,180.0,bottom
C9,141.11625,-121.7295,0.0,bottom
D1,54.096,-29.81325,90.0,bottom
D10,239.8335,-29.81325,90.0,bottom
D11,258.8835,-29.81325,90.0,bottom
D12,277.9335,-29.81325,90.0,bottom
D13,296.9835,-29.81325,90.0,bottom
D14,320.796,-29.81325,90.0,bottom
D15,30.2835,-53.62575,90.0,bottom
D16,54.096,-53.62575,90.0,bottom
D17,73.146,-53.62575,90.0,bottom
D18,92.196,-53.62575,90.0,bottom
D19,111.246,-53.62575,90.0,bottom
D2,77.9085,-29.81325,90.0,bottom
D20,130.296,-53.62575,90.0,bottom
D21,149.346,-53.62575,90.0,bottom
D22,168.396,-53.62575,90.0,bottom
D23,187.446,-53.62575,90.0,bottom
D24,206.496,-53.62575,90.0,bottom
D25,225.546,-53.62575,90.0,bottom
D26,244.596,-53.62575,90.0,bottom
D27,263.646,-53.62575,90.0,bottom
D28,282.696,-53.62575,90.0,bottom
D29,311.271,-53.62575,90.0,bottom
D3,96.9585,-29.81325,90.0,bottom
D30,344.6085,-53.62575,90.0,bottom
D31,30.2835,-72.67575,90.0,bottom
D32,58.8585,-72.67575,90.0,bottom
D33,82.671,-72.67575,90.0,bottom
D34,101.721,-72.67575,90.0,bottom
D35,120.771,-72.67575,90.0,bottom
D36,139.821,-72.67575,90.0,bottom
D37,158.871,-72.67575,90.0,bottom
D38,177.921,-72.67575,90.0,bottom
D39,196.971,-72.67575,90.0,bottom
D4,116.0085,-29.81325,90.0,bottom
D40,216.021,-72.67575,90.0,bottom
D41,235.071,-72.67575,90.0,bottom
D42,254.121,-72.67575,90.0,bottom
D43,273.171,-72.67575,90.0,bottom
D44,292.221,-72.67575,90.0,bottom
D45,316.0335,-72.67575,90.0,bottom
D46,344.6085,-72.67575,90.0,bottom
D47,30.2835,-91.72575,90.0,bottom
D48,61.23975,-91.72575,90.0,bottom
D49,87.4335,-91.72575,90.0,bottom
D5,135.0585,-29.81325,90.0,bottom
D50,106.4835,-91.72575,90.0,bottom
D51,125.5335,-91.72575,90.0,bottom
D52,144.5835,-91.72575,90.0,bottom
D53,163.6335,-91.72575,90.0,bottom
D54,182.6835,-91.72575,90.0,bottom
D55,201.7335,-91.72575,90.0,bottom
D56,220.7835,-91.72575,90.0,bottom
D57,239.8335,-91.72575,90.0,bottom
D58,258.8835,-91.72575,90.0,bottom
D59,277.9335,-91.72575,90.0,bottom
